Slavebarrierwait
Slavebarrierwait
type;exec;direction;nb_clusters;size;time
Hello1
Masterbarrierwait
Masterbarrierend
Masterbarrierend
Slavebarrierwait
Slavebarrierend
Slavebarrierend
Slavebarrierend
AllSlavesArrived:0
AllSlavesArrived:2
AllSlavesArrived:1
Hello2
UsandoChannel!
Slavebarrierwait
Slavebarrierend
AllSlavesArrived:3
channel;14;master-slave;4;16384;669
channel;14;master-slave;4;32768;1260
channel;14;master-slave;4;65536;2454
channel;14;master-slave;4;131072;4830
channel;14;master-slave;4;262144;9591
channel;14;master-slave;4;524288;19105
channel;14;master-slave;4;1048576;38120
channel;14;slave-master;4;1;202
channel;14;slave-master;4;2;189
channel;14;slave-master;4;4;177
channel;14;slave-master;4;8;153
channel;14;slave-master;4;16;169
channel;14;slave-master;4;32;172
channel;14;slave-master;4;64;186
channel;14;slave-master;4;128;198
channel;14;slave-master;4;256;202
channel;14;slave-master;4;512;198
channel;14;slave-master;4;1024;198
channel;14;slave-master;4;2048;205
channel;14;slave-master;4;4096;271
channel;14;slave-master;4;8192;298
channel;14;slave-master;4;16384;377
channel;14;slave-master;4;32768;608
channel;14;slave-master;4;65536;1009
channel;14;slave-master;4;131072;1806
channel;14;slave-master;4;262144;3404
channel;14;slave-master;4;524288;6599
channel;14;slave-master;4;1048576;13010
UsandoChannel!
channel;15;master-slave;4;1;79
channel;15;master-slave;4;2;75
channel;15;master-slave;4;4;75
channel;15;master-slave;4;8;73
channel;15;master-slave;4;16;74
channel;15;master-slave;4;32;77
channel;15;master-slave;4;64;75
channel;15;master-slave;4;128;77
channel;15;master-slave;4;256;81
channel;15;master-slave;4;512;90
channel;15;master-slave;4;1024;110
channel;15;master-slave;4;2048;152
channel;15;master-slave;4;4096;220
channel;15;master-slave;4;8192;373
channel;15;master-slave;4;16384;664
channel;15;master-slave;4;32768;1261
channel;15;master-slave;4;65536;2449
channel;15;master-slave;4;131072;4833
channel;15;master-slave;4;262144;9591
channel;15;master-slave;4;524288;19105
channel;15;master-slave;4;1048576;38120
channel;15;slave-master;4;1;201
channel;15;slave-master;4;2;170
channel;15;slave-master;4;4;176
channel;15;slave-master;4;8;175
channel;15;slave-master;4;16;164
channel;15;slave-master;4;32;185
channel;15;slave-master;4;64;197
channel;15;slave-master;4;128;198
channel;15;slave-master;4;256;207
channel;15;slave-master;4;512;198
channel;15;slave-master;4;1024;199
channel;15;slave-master;4;2048;198
channel;15;slave-master;4;4096;271
channel;15;slave-master;4;8192;295
channel;15;slave-master;4;16384;376
channel;15;slave-master;4;32768;608
channel;15;slave-master;4;65536;1018
channel;15;slave-master;4;131072;1811
channel;15;slave-master;4;262144;3403
channel;15;slave-master;4;524288;6599
channel;15;slave-master;4;1048576;13011
UsandoChannel!
channel;16;master-slave;4;1;87
channel;16;master-slave;4;2;76
channel;16;master-slave;4;4;76
channel;16;master-slave;4;8;73
channel;16;master-slave;4;16;74
channel;16;master-slave;4;32;77
channel;16;master-slave;4;64;74
channel;16;master-slave;4;128;77
channel;16;master-slave;4;256;81
channel;16;master-slave;4;512;91
channel;16;master-slave;4;1024;109
channel;16;master-slave;4;2048;147
channel;16;master-slave;4;4096;220
channel;16;master-slave;4;8192;373
channel;16;master-slave;4;16384;664
channel;16;master-slave;4;32768;1261
channel;16;master-slave;4;65536;2452
channel;16;master-slave;4;131072;4830
channel;16;master-slave;4;262144;9590
channel;16;master-slave;4;524288;19106
channel;16;master-slave;4;1048576;38120
channel;16;slave-master;4;1;202
channel;16;slave-master;4;2;169
channel;16;slave-master;4;4;187
channel;16;slave-master;4;8;181
channel;16;slave-master;4;16;176
channel;16;slave-master;4;32;186
channel;16;slave-master;4;64;198
channel;16;slave-master;4;128;186
channel;16;slave-master;4;256;198
channel;16;slave-master;4;512;204
channel;16;slave-master;4;1024;198
channel;16;slave-master;4;2048;199
channel;16;slave-master;4;4096;270
channel;16;slave-master;4;8192;294
channel;16;slave-master;4;16384;376
channel;16;slave-master;4;32768;608
channel;16;slave-master;4;65536;1009
channel;16;slave-master;4;131072;1806
channel;16;slave-master;4;262144;3403
channel;16;slave-master;4;524288;6599
channel;16;slave-master;4;1048576;13009
UsandoChannel!
channel;17;master-slave;4;1;76
channel;17;master-slave;4;2;78
channel;17;master-slave;4;4;76
channel;17;master-slave;4;8;78
channel;17;master-slave;4;16;74
channel;17;master-slave;4;32;76
channel;17;master-slave;4;64;75
channel;17;master-slave;4;128;77
channel;17;master-slave;4;256;81
channel;17;master-slave;4;512;91
channel;17;master-slave;4;1024;109
channel;17;master-slave;4;2048;146
channel;17;master-slave;4;4096;221
channel;17;master-slave;4;8192;369
channel;17;master-slave;4;16384;663
channel;17;master-slave;4;32768;1270
channel;17;master-slave;4;65536;2448
channel;17;master-slave;4;131072;4834
channel;17;master-slave;4;262144;9582
channel;17;master-slave;4;524288;19109
channel;17;master-slave;4;1048576;38120
channel;17;slave-master;4;1;201
channel;17;slave-master;4;2;175
channel;17;slave-master;4;4;175
channel;17;slave-master;4;8;165
channel;17;slave-master;4;16;164
channel;17;slave-master;4;32;176
channel;17;slave-master;4;64;186
channel;17;slave-master;4;128;187
channel;17;slave-master;4;256;198
channel;17;slave-master;4;512;198
channel;17;slave-master;4;1024;151
channel;17;slave-master;4;2048;155
channel;17;slave-master;4;4096;267
channel;17;slave-master;4;8192;294
channel;17;slave-master;4;16384;381
channel;17;slave-master;4;32768;608
channel;17;slave-master;4;65536;1007
channel;17;slave-master;4;131072;1807
channel;17;slave-master;4;262144;3405
channel;17;slave-master;4;524288;6597
channel;17;slave-master;4;1048576;13010
UsandoChannel!
channel;18;master-slave;4;1;77
channel;18;master-slave;4;2;75
channel;18;master-slave;4;4;76
channel;18;master-slave;4;8;73
channel;18;master-slave;4;16;74
channel;18;master-slave;4;32;76
channel;18;master-slave;4;64;75
channel;18;master-slave;4;128;76
channel;18;master-slave;4;256;82
channel;18;master-slave;4;512;90
channel;18;master-slave;4;1024;109
channel;18;master-slave;4;2048;147
channel;18;master-slave;4;4096;225
channel;18;master-slave;4;8192;367
channel;18;master-slave;4;16384;669
channel;18;master-slave;4;32768;1265
channel;18;master-slave;4;65536;2449
channel;18;master-slave;4;131072;4833
channel;18;master-slave;4;262144;9586
channel;18;master-slave;4;524288;19105
channel;18;master-slave;4;1048576;38120
channel;18;slave-master;4;1;200
channel;18;slave-master;4;2;175
channel;18;slave-master;4;4;180
channel;18;slave-master;4;8;165
channel;18;slave-master;4;16;176
channel;18;slave-master;4;32;164
channel;18;slave-master;4;64;186
channel;18;slave-master;4;128;197
channel;18;slave-master;4;256;198
channel;18;slave-master;4;512;199
channel;18;slave-master;4;1024;203
channel;18;slave-master;4;2048;200
channel;18;slave-master;4;4096;277
channel;18;slave-master;4;8192;296
channel;18;slave-master;4;16384;376
channel;18;slave-master;4;32768;608
channel;18;slave-master;4;65536;1007
channel;18;slave-master;4;131072;1806
channel;18;slave-master;4;262144;3403
channel;18;slave-master;4;524288;6598
channel;18;slave-master;4;1048576;13011
UsandoChannel!
channel;19;master-slave;4;1;77
channel;19;master-slave;4;2;77
channel;19;master-slave;4;4;77
channel;19;master-slave;4;8;73
channel;19;master-slave;4;16;80
channel;19;master-slave;4;32;76
channel;19;master-slave;4;64;74
channel;19;master-slave;4;128;76
channel;19;master-slave;4;256;81
channel;19;master-slave;4;512;95
